date,unique_bettor_n,unique_bettor_mana,quest_n,quest_mana,total_passive_mana
2026-02-10,7,21,1,100,121
2026-02-11,4,12,1,5,17
2026-02-12,38,114,1,5,119
2026-02-13,7,21,1,5,26
2026-02-14,43,129,1,5,134
2026-02-15,36,108,0,0,108
2026-02-16,65,195,1,5,200
2026-02-17,30,90,1,5,95
2026-02-18,12,36,1,5,41
2026-02-19,7,21,1,5,26
2026-02-20,6,18,1,5,23
2026-02-21,6,18,1,5,23
2026-02-22,7,21,1,5,26
2026-02-23,10,30,1,5,35
2026-02-24,6,18,1,5,23
2026-02-25,8,24,1,5,29
2026-02-26,18,54,1,5,59
2026-02-27,27,81,1,5,86
2026-02-28,11,33,1,5,38
2026-03-01,14,42,2,105,147
2026-03-02,11,33,1,5,38
2026-03-03,51,153,1,5,158
2026-03-04,17,51,1,5,56
2026-03-05,14,42,1,5,47
2026-03-06,14,42,1,5,47
2026-03-07,14,42,1,5,47
2026-03-08,13,39,1,5,44
2026-03-09,16,48,1,5,53
2026-03-10,13,39,1,5,44
2026-03-11,9,27,1,5,32
2026-03-12,5,15,1,5,20
2026-03-13,6,18,1,5,23
2026-03-14,13,39,1,5,44
2026-03-15,13,39,1,5,44
2026-03-16,11,33,1,5,38
2026-03-17,6,18,1,5,23
2026-03-18,10,30,1,5,35
2026-03-19,8,24,1,5,29
2026-03-20,8,24,1,5,29
2026-03-21,5,15,1,5,20
2026-03-22,1,3,1,5,8
2026-03-23,5,15,1,5,20
2026-03-24,5,15,1,5,20
2026-03-25,15,45,1,5,50
2026-03-26,51,153,2,105,258
2026-03-27,41,123,1,5,128
2026-03-28,18,54,1,5,59
2026-03-29,10,30,1,5,35
2026-03-30,8,24,1,5,29
2026-03-31,7,21,1,5,26
2026-04-01,11,33,1,5,38
2026-04-02,52,156,2,105,261
2026-04-03,52,156,1,5,161
2026-04-04,27,81,1,5,86
2026-04-05,13,39,1,5,44
2026-04-06,5,15,1,5,20
2026-04-07,33,99,1,5,104
2026-04-08,22,66,1,5,71
2026-04-09,16,48,1,5,53
2026-04-10,5,15,1,5,20
2026-04-11,1,3,1,5,8
2026-04-12,4,12,1,5,17
2026-04-13,7,21,1,5,26
2026-04-14,11,33,1,5,38
2026-04-15,9,27,1,5,32
2026-04-16,20,60,1,5,65
2026-04-17,24,72,1,5,77
2026-04-18,15,45,1,5,50
2026-04-19,13,39,1,5,44
2026-04-20,5,15,1,5,20
2026-04-21,12,36,1,5,41
2026-04-22,5,15,1,5,20
2026-04-23,6,18,1,5,23
2026-04-24,20,60,1,5,65
2026-04-25,1,3,1,5,8
2026-04-26,7,21,2,105,126
2026-04-27,3,9,1,5,14
2026-04-28,2,6,1,5,11
2026-04-29,22,66,1,5,71
2026-04-30,4,12,1,5,17
2026-05-01,15,45,1,5,50
2026-05-02,19,57,1,5,62
2026-05-03,4,12,0,0,12
