timestamp_iso,timestamp_ms,balance,investmentValue,loanTotal,totalDeposits,profit,netWorth,lifetimePnL
2026-04-03T00:12:38+00:00,1775175158000,190.95,13947.09,1713.85,13118.39,1020.69,14138.04,1019.65
2026-04-03T01:03:35+00:00,1775178215000,211.95,13942.99,1713.85,13139.39,1016.59,14154.94,1015.55
2026-04-03T01:31:33+00:00,1775179893000,211.95,13921.06,1713.85,13139.39,994.66,14133.01,993.62
2026-04-03T01:57:23+00:00,1775181443000,214.95,13931.38,1713.85,13142.39,1004.97,14146.33,1003.94
2026-04-03T02:22:19+00:00,1775182939000,214.95,13927.54,1713.85,13142.39,1001.14,14142.49,1000.1
2026-04-03T02:50:37+00:00,1775184637000,214.95,13935.76,1713.85,13142.39,1009.35,14150.71,1008.31
2026-04-03T03:14:56+00:00,1775186096000,214.95,13936.69,1713.85,13142.39,1010.29,14151.64,1009.25
2026-04-03T04:09:45+00:00,1775189385000,214.95,13942.18,1713.85,13142.39,1015.78,14157.13,1014.74
2026-04-03T04:59:25+00:00,1775192365000,217.95,13951.7,1713.85,13145.39,1025.29,14169.65,1024.26
2026-04-03T05:27:32+00:00,1775194052000,217.95,13953.96,1713.85,13145.39,1027.56,14171.91,1026.52
2026-04-03T05:52:40+00:00,1775195560000,217.95,13955.82,1713.85,13145.39,1029.42,14173.77,1028.38
2026-04-03T06:24:22+00:00,1775197462000,223.95,13978.67,1713.85,13151.39,1052.27,14202.62,1051.23
2026-04-03T07:19:05+00:00,1775200745000,1294.24,13413.63,1570.5,13294.03,1414.89,14707.88,1413.85
2026-04-03T07:46:47+00:00,1775202407000,1303.24,13086.8,1524.27,13303.03,1088.06,14390.05,1087.02
2026-04-03T08:13:37+00:00,1775204017000,1435.45,12978.01,1646.48,13314.03,1100.48,14413.47,1099.44
2026-04-03T08:40:30+00:00,1775205630000,1435.45,12978.18,1646.48,13314.03,1100.65,14413.64,1099.61
2026-04-03T09:32:55+00:00,1775208775000,1441.45,13000.56,1646.48,13320.03,1123.03,14442.01,1121.99
2026-04-03T10:08:19+00:00,1775210899000,1441.45,13000.86,1646.48,13320.03,1123.33,14442.31,1122.29
2026-04-03T10:46:17+00:00,1775213177000,1441.45,13000.54,1646.48,13320.03,1123.01,14442.0,1121.97
2026-04-03T11:34:32+00:00,1775216072000,1441.45,12999.22,1646.48,13320.03,1121.69,14440.68,1120.65
2026-04-03T13:15:44+00:00,1775222144000,1477.45,12842.65,1646.48,13356.03,965.12,14320.1,964.08
2026-04-03T13:41:43+00:00,1775223703000,1480.45,12843.18,1646.48,13359.03,965.65,14323.64,964.61
2026-04-03T14:05:50+00:00,1775225150000,1480.45,12843.18,1646.48,13359.03,965.65,14323.64,964.61
2026-04-03T14:57:47+00:00,1775228267000,1492.45,12727.01,1646.48,13371.03,849.48,14219.46,848.44
2026-04-03T15:24:56+00:00,1775229896000,1498.45,12709.89,1646.48,13377.03,832.36,14208.34,831.32
2026-04-03T15:48:46+00:00,1775231326000,1498.45,12709.89,1646.48,13377.03,832.36,14208.34,831.32
2026-04-03T16:16:46+00:00,1775233006000,1498.45,12709.89,1646.48,13377.03,832.36,14208.34,831.32
2026-04-03T16:41:53+00:00,1775234513000,1498.45,12709.89,1646.48,13377.03,832.36,14208.34,831.32
2026-04-03T17:05:55+00:00,1775235955000,1498.45,12710.24,1646.48,13377.03,832.7,14208.69,831.66
2026-04-03T17:32:46+00:00,1775237566000,1498.45,12674.53,1646.48,13377.03,797.0,14172.98,795.96
2026-04-03T18:01:23+00:00,1775239283000,1501.45,12655.71,1646.48,13380.03,778.18,14157.16,777.14
2026-04-03T18:27:53+00:00,1775240873000,1501.45,12656.28,1646.48,13380.03,778.75,14157.74,777.71
2026-04-03T18:53:46+00:00,1775242426000,1504.45,12656.28,1646.48,13383.03,778.75,14160.74,777.71
2026-04-03T20:18:01+00:00,1775247481000,1522.45,12594.82,1646.48,13401.03,717.28,14117.27,716.25
2026-04-03T20:46:33+00:00,1775249193000,1525.45,12579.56,1646.48,13404.03,702.03,14105.01,700.99
2026-04-03T21:14:33+00:00,1775250873000,1528.45,12585.65,1646.48,13407.03,708.12,14114.1,707.08
2026-04-03T21:38:25+00:00,1775252305000,1528.45,12588.74,1646.48,13407.03,711.05,14117.2,710.17
2026-04-03T22:07:05+00:00,1775254025000,1528.45,12592.73,1646.48,13407.03,715.03,14121.18,714.16
2026-04-03T22:33:22+00:00,1775255602000,1528.45,12592.73,1646.48,13407.03,715.03,14121.18,714.16
2026-04-03T22:56:50+00:00,1775257010000,1528.45,12614.08,1646.48,13407.03,736.38,14142.54,735.51
2026-04-03T23:26:52+00:00,1775258812000,1528.45,12548.33,1646.48,13407.03,670.63,14076.79,669.76
2026-04-03T23:51:26+00:00,1775260286000,1528.45,12542.64,1646.48,13407.03,664.94,14071.09,664.07
2026-04-04T00:16:50+00:00,1775261810000,1528.45,12479.71,1646.48,13407.03,602.01,14008.16,601.14
2026-04-04T01:09:02+00:00,1775264942000,1528.45,12485.57,1646.48,13407.03,607.87,14014.02,607.0
2026-04-04T01:33:20+00:00,1775266400000,1561.45,12457.63,1646.48,13440.03,579.93,14019.09,579.06
2026-04-04T01:56:47+00:00,1775267807000,1564.45,12527.34,1646.48,13443.03,649.64,14091.79,648.77
2026-04-04T02:47:02+00:00,1775270822000,1573.45,12508.47,1646.48,13452.03,630.77,14081.93,629.9
2026-04-04T03:38:51+00:00,1775273931000,1573.45,12527.86,1646.48,13452.03,650.16,14101.31,649.29
2026-04-04T04:03:32+00:00,1775275412000,1573.45,12559.95,1646.48,13452.03,682.26,14133.41,681.38
2026-04-04T05:00:17+00:00,1775278817000,1576.45,12556.19,1646.48,13455.03,678.49,14132.65,677.62
2026-04-04T05:29:10+00:00,1775280550000,1576.45,12567.31,1646.48,13455.03,689.61,14143.77,688.74
2026-04-04T06:01:47+00:00,1775282507000,1576.45,12565.05,1646.48,13455.03,687.35,14141.51,686.48
2026-04-04T06:32:52+00:00,1775284372000,1576.45,12561.71,1646.48,13455.03,684.02,14138.17,683.14
2026-04-04T06:58:45+00:00,1775285925000,1576.45,12561.71,1646.48,13455.03,684.02,14138.17,683.14
2026-04-04T07:45:30+00:00,1775288730000,1576.45,12560.81,1646.48,13455.03,683.11,14137.26,682.23
2026-04-04T08:11:33+00:00,1775290293000,1580.45,12561.86,1646.48,13460.03,683.16,14142.31,682.29
2026-04-04T08:35:25+00:00,1775291725000,1580.45,12557.4,1646.48,13460.03,678.7,14137.86,677.83
2026-04-04T09:02:31+00:00,1775293351000,1580.45,12557.65,1646.48,13460.03,678.95,14138.1,678.07
2026-04-04T09:54:44+00:00,1775296484000,1580.45,12541.98,1646.48,13460.03,663.28,14122.44,662.41
2026-04-04T10:36:29+00:00,1775298989000,1580.45,12541.98,1646.48,13460.03,663.28,14122.44,662.41
2026-04-04T11:02:29+00:00,1775300549000,1586.45,12541.98,1646.48,13466.03,663.28,14128.44,662.41
2026-04-04T11:26:59+00:00,1775302019000,1586.45,12541.98,1646.48,13466.03,663.28,14128.44,662.41
2026-04-04T11:57:25+00:00,1775303845000,1589.45,12539.21,1646.48,13469.03,660.52,14128.67,659.64
2026-04-04T12:26:45+00:00,1775305605000,1589.45,12552.92,1646.48,13469.03,674.22,14142.37,673.34
2026-04-04T13:19:42+00:00,1775308782000,1598.45,12543.58,1646.48,13478.03,664.88,14142.03,664.01
2026-04-04T13:43:44+00:00,1775310224000,1598.45,12548.97,1646.48,13478.03,670.27,14147.42,669.4
2026-04-04T14:09:35+00:00,1775311775000,1598.45,12548.08,1646.48,13478.03,669.38,14146.53,668.51
2026-04-04T14:35:45+00:00,1775313345000,1601.45,12547.65,1646.48,13481.03,668.96,14149.11,668.08
2026-04-04T15:00:32+00:00,1775314832000,1729.68,12420.86,1774.7,13481.03,670.39,14150.54,669.52
2026-04-04T15:25:54+00:00,1775316354000,1729.68,12382.49,1774.7,13481.03,631.82,14112.17,631.15
2026-04-04T16:15:47+00:00,1775319347000,1732.68,12355.56,1774.7,13484.03,604.89,14088.24,604.22
2026-04-04T18:25:41+00:00,1775327141000,1735.68,12414.89,1774.7,13487.03,664.22,14150.57,663.55
2026-04-04T18:49:54+00:00,1775328594000,1735.68,12414.89,1774.7,13487.03,664.22,14150.57,663.55
2026-04-04T19:17:53+00:00,1775330273000,1738.68,12435.77,1774.7,13490.03,685.1,14174.45,684.43
2026-04-04T19:42:35+00:00,1775331755000,1738.68,12479.46,1774.7,13490.03,728.78,14218.14,728.11
2026-04-04T20:08:51+00:00,1775333331000,1738.68,12479.46,1774.7,13490.03,728.78,14218.14,728.11
2026-04-04T20:35:44+00:00,1775334944000,1738.68,12479.46,1774.7,13490.03,728.78,14218.14,728.11
2026-04-04T21:29:27+00:00,1775338167000,1738.68,12464.87,1774.7,13490.03,714.2,14203.55,713.52
2026-04-04T21:57:26+00:00,1775339846000,1738.68,12465.24,1774.7,13490.03,714.57,14203.92,713.9
2026-04-04T22:28:31+00:00,1775341711000,1741.68,12459.64,1774.7,13493.03,708.97,14201.32,708.3
2026-04-04T22:55:30+00:00,1775343330000,1741.68,12450.37,1774.7,13493.03,699.69,14192.05,699.02
2026-04-04T23:22:48+00:00,1775344968000,1741.68,12470.42,1774.7,13493.03,719.74,14212.1,719.07
2026-04-04T23:50:50+00:00,1775346650000,1741.68,12436.13,1774.7,13493.03,685.46,14177.81,684.79
2026-04-05T00:21:50+00:00,1775348510000,1741.68,12439.98,1774.7,13493.03,689.31,14181.66,688.64
2026-04-05T00:50:56+00:00,1775350256000,1741.68,12439.68,1774.7,13493.03,689.01,14181.36,688.34
2026-04-05T01:19:34+00:00,1775351974000,1744.68,12435.13,1774.7,13496.03,684.45,14179.81,683.78
2026-04-05T01:45:29+00:00,1775353529000,1744.68,12435.13,1774.7,13496.03,684.45,14179.81,683.78
2026-04-05T03:05:09+00:00,1775358309000,1744.68,12435.13,1774.7,13496.03,684.45,14179.81,683.78
2026-04-05T03:30:57+00:00,1775359857000,1744.68,12435.13,1774.7,13496.03,684.45,14179.81,683.78
2026-04-05T04:51:05+00:00,1775364665000,1744.68,12435.13,1774.7,13496.03,684.45,14179.81,683.78
2026-04-05T05:17:49+00:00,1775366269000,1744.68,12434.87,1774.7,13496.03,684.19,14179.55,683.52
2026-04-05T05:43:09+00:00,1775367789000,1744.68,12434.87,1774.7,13496.03,684.19,14179.55,683.52
2026-04-05T06:09:13+00:00,1775369353000,1744.68,12434.37,1774.7,13496.03,683.7,14179.05,683.02
2026-04-05T06:45:17+00:00,1775371517000,1747.68,12434.37,1774.7,13499.03,683.7,14182.05,683.02
2026-04-05T07:11:12+00:00,1775373072000,1747.68,12433.32,1774.7,13499.03,682.65,14181.0,681.98
2026-04-05T08:10:07+00:00,1775376607000,1757.68,12538.74,1774.7,13510.03,787.06,14296.42,786.39
2026-04-05T08:39:01+00:00,1775378341000,1757.68,12538.74,1774.7,13510.03,787.06,14296.42,786.39
2026-04-05T09:05:18+00:00,1775379918000,1760.68,12538.74,1774.7,13513.03,787.06,14299.42,786.39
2026-04-05T09:30:27+00:00,1775381427000,1763.68,12475.57,1774.7,13516.03,723.89,14239.25,723.22
2026-04-05T10:00:14+00:00,1775383214000,1763.68,12479.78,1774.7,13516.03,728.11,14243.46,727.43
2026-04-05T10:45:16+00:00,1775385916000,1763.68,12480.04,1774.7,13516.03,728.37,14243.72,727.7
2026-04-05T11:58:56+00:00,1775390336000,1893.23,12358.27,1904.25,13516.03,736.14,14251.49,735.47
2026-04-05T12:27:38+00:00,1775392058000,1893.23,12347.02,1904.25,13516.03,724.89,14240.24,724.22
2026-04-05T12:51:56+00:00,1775393516000,1893.23,12347.02,1904.25,13516.03,724.89,14240.24,724.22
2026-04-05T13:16:33+00:00,1775394993000,1893.23,12334.62,1904.25,13516.03,712.49,14227.84,711.82
2026-04-05T13:42:01+00:00,1775396521000,1893.23,12334.62,1904.25,13516.03,712.49,14227.84,711.82
2026-04-05T14:07:01+00:00,1775398021000,1896.23,12326.25,1904.25,13519.03,704.12,14222.48,703.45
2026-04-05T14:31:58+00:00,1775399518000,1896.23,12309.21,1904.25,13519.03,687.08,14205.44,686.41
2026-04-05T14:54:59+00:00,1775400899000,1896.23,12317.21,1904.25,13519.03,695.08,14213.44,694.41
2026-04-05T15:20:59+00:00,1775402459000,1896.23,12316.14,1904.25,13519.03,694.01,14212.36,693.34
2026-04-05T15:48:08+00:00,1775404088000,1902.23,12243.32,1904.25,13525.03,621.19,14145.54,620.52
2026-04-05T16:12:03+00:00,1775405523000,1902.23,12244.82,1904.25,13525.03,622.7,14147.05,622.02
2026-04-05T16:39:04+00:00,1775407144000,1902.23,12243.46,1904.25,13525.03,621.33,14145.68,620.66
2026-04-05T17:05:02+00:00,1775408702000,1902.23,12475.39,1904.25,13525.03,853.26,14377.62,852.59
2026-04-05T17:29:02+00:00,1775410142000,1902.23,12483.33,1904.25,13525.03,861.2,14385.56,860.53
2026-04-05T17:52:00+00:00,1775411520000,1902.23,12483.0,1904.25,13525.03,860.87,14385.22,860.2
2026-04-05T18:38:04+00:00,1775414284000,1902.23,12484.21,1904.25,13525.03,862.09,14386.44,861.41
2026-04-05T19:01:00+00:00,1775415660000,1902.23,12479.13,1904.25,13525.03,857.01,14381.36,856.33
2026-04-05T19:27:34+00:00,1775417254000,1902.23,12481.93,1904.25,13525.03,859.8,14384.15,859.13
2026-04-05T19:52:03+00:00,1775418723000,1902.23,12422.43,1904.25,13525.03,800.3,14324.65,799.63
2026-04-05T20:44:17+00:00,1775421857000,1902.23,12327.26,1904.25,13525.03,705.13,14229.48,704.46
2026-04-05T21:07:00+00:00,1775423220000,1902.23,12293.67,1904.25,13525.03,671.54,14195.9,670.87
2026-04-05T22:00:01+00:00,1775426401000,1902.23,12294.0,1904.25,13525.03,671.87,14196.22,671.2
2026-04-05T22:55:56+00:00,1775429756000,1911.23,12307.78,1904.25,13534.03,685.65,14219.0,684.98
2026-04-05T23:22:02+00:00,1775431322000,1911.23,12343.91,1904.25,13534.03,721.78,14255.14,721.11
2026-04-06T00:13:21+00:00,1775434401000,1914.23,12343.1,1904.25,13537.03,720.97,14257.32,720.3
2026-04-06T00:40:02+00:00,1775436002000,1914.23,12337.9,1904.25,13537.03,715.77,14252.13,715.1
2026-04-06T01:04:04+00:00,1775437444000,1914.23,12338.19,1904.25,13537.03,716.06,14252.41,715.39
2026-04-06T01:35:01+00:00,1775439301000,1914.23,12280.14,1904.25,13537.03,658.01,14194.37,657.34
2026-04-06T01:58:00+00:00,1775440680000,1914.23,12278.95,1904.25,13537.03,656.82,14193.17,656.15
2026-04-06T02:24:03+00:00,1775442243000,1914.23,12283.98,1904.25,13537.03,661.86,14198.21,661.18
2026-04-06T02:49:04+00:00,1775443744000,1914.23,12283.69,1904.25,13537.03,661.57,14197.92,660.89
2026-04-06T03:42:05+00:00,1775446925000,1914.23,12289.14,1904.25,13537.03,667.01,14203.36,666.34
2026-04-06T04:34:47+00:00,1775450087000,1914.23,12237.42,1904.25,13537.03,615.3,14151.65,614.62
2026-04-06T05:00:03+00:00,1775451603000,1914.23,12237.41,1904.25,13537.03,615.28,14151.64,614.61
2026-04-06T05:47:00+00:00,1775454420000,1914.23,12254.49,1904.25,13537.03,632.37,14168.72,631.69
2026-04-06T06:09:57+00:00,1775455797000,1914.23,12254.49,1904.25,13537.03,632.37,14168.72,631.69
2026-04-06T06:34:00+00:00,1775457240000,1914.23,12256.69,1904.25,13537.03,634.56,14170.91,633.89
2026-04-06T07:24:46+00:00,1775460286000,1917.23,12251.71,1904.25,13540.03,629.58,14168.94,628.91
2026-04-06T07:50:50+00:00,1775461850000,1917.23,12252.18,1904.25,13540.03,630.05,14169.4,629.38
2026-04-06T08:18:45+00:00,1775463525000,1921.23,12262.09,1904.25,13545.03,638.96,14183.31,638.29
2026-04-06T08:44:01+00:00,1775465041000,1921.23,12262.09,1904.25,13545.03,638.96,14183.31,638.29
2026-04-06T09:08:01+00:00,1775466481000,1921.23,12262.37,1904.25,13545.03,639.24,14183.59,638.57
2026-04-06T10:06:01+00:00,1775469961000,1921.23,12267.31,1904.25,13545.03,644.18,14188.53,643.51
